OBJECTID,CT2010,ThematicVa
1,24029950100,40.4
2,24029950200,41.6
3,24029950300,46.4
4,24029950500,23.5
5,24029950400,40.9
6,24017850500,41.1
7,24017850600,61.2
8,24017851002,57.6
9,24017851100,46.8
10,24017850300,59.1
11,24017850400,56.2
12,24011955600,54.3
13,24011955000,79.1
14,24011955100,37.9
15,24011955500,35.7
16,24011955400,24.1
17,24011955301,32.5
18,24011955202,25.2
19,24011955302,50
20,24011955201,47.7
21,24017851200,42.9
22,24017850904,60.7
23,24017850901,62.5
24,24017850902,69.7
25,24017851001,53.5
26,24017850906,58.4
27,24017850801,63.3
28,24017850802,68
29,24017850201,69.2
30,24017850202,60.6
31,24017851400,55.7
32,24017850905,64.1
33,24017850102,62.7
34,24017850101,55.5
35,24017850713,65.2
36,24017850712,63.5
37,24017850708,62.8
38,24017850709,60.3
39,24017850706,60.5
40,24017850711,60.5
41,24017850710,63.3
42,24017851301,34.2
43,24017851302,49.3
44,24017851500,61.5
45,24510151000,8.8
46,24510080700,13.7
47,24510080500,6.7
48,24510150500,8.3
49,24510120100,53.5
50,24510090900,10
51,24510280301,23.3
52,24510130803,50.8
53,24510130700,38.1
54,24510130600,29.5
55,24510100100,9.2
56,24510110100,64.2
57,24510270501,56
58,24510270302,57.4
59,24510270401,49.4
60,24510120700,66.2
61,24510271200,37.5
62,24510110200,64.7
63,24510271002,13.4
64,24510280404,38.6
65,24510270804,68.4
66,24510260203,21.9
67,24510260101,53.3
68,24510260102,33.7
69,24510090800,8.4
70,24510090300,42
71,24510270801,31.4
72,24510120400,39.7
73,24510090200,35.3
74,24510271001,14
75,24510130200,28.6
76,24510140100,63.4
77,24510270600,56.2
78,24510270701,16.4
79,24510130100,21
80,24510270803,25
81,24510280200,15.4
82,24510280302,14
83,24510130804,34.1
84,24510271101,60.4
85,24510271102,39.2
86,24510150800,10.8
87,24510270301,53.3
88,24510170100,43.8
89,24510090500,34.9
90,24510170200,19
91,24510090600,12.8
92,24510120300,57.1
93,24510120500,48
94,24510130300,11
95,24510120600,66
96,24510100200,7.4
97,24510150400,11.1
98,24510261000,86.1
99,24510280403,45.1
100,24510010400,37.2
101,24510250303,52.6
102,24510260303,58.5
103,24510200701,5.1
104,24510272003,52.1
105,24510070200,22.9
106,24510280102,12.3
107,24510151200,11.4
108,24510260900,45.3
109,24510200400,9.9
110,24510261100,39.3
111,24510200500,61.1
112,24510250103,51.3
113,24510260301,18.8
114,24510200600,47
115,24510130806,55.4
116,24510270702,49.1
117,24510180200,14.1
118,24510190100,25
119,24510270805,27.7
120,24510200200,6.9
121,24510150702,4.8
122,24510270402,56.3
123,24510250206,49
124,24510150701,9.4
125,24510151100,9.5
126,24510040100,70.9
127,24510270101,58.9
128,24510270200,59.8
129,24510190200,67.9
130,24510271501,40.2
131,24510210100,59.7
132,24510180300,53.5
133,24510180100,8.5
134,24510150100,6.7
135,24510200300,50.3
136,24510200100,14.1
137,24510090700,9.7
138,24510190300,60.8
139,24510090400,25.5
140,24510200702,12.6
141,24001000100,8.4
142,24001000200,44.3
143,24001000600,24.2
144,24001000300,13.7
145,24001001700,15.8
146,24001000800,19.4
147,24001000500,35.5
148,24001000700,20.6
149,24001001502,8.4
150,24001001000,28.6
151,24001001100,19.8
152,24001001200,27.9
153,24001001600,14.5
154,24001001300,52.4
155,24001002100,5.4
156,24001002200,5.6
157,24510250500,66.6
158,24510280401,29.7
159,24510160801,7.9
160,24510160802,6.9
161,24510270703,61
162,24510220100,46.4
163,24510250301,24.5
164,24510270502,59.1
165,24510030100,49.1
166,24510020200,83.5
167,24510250600,61.1
168,24510240200,30.3
169,24510150900,9.9
170,24510020300,44.1
171,24510270102,44.4
172,24510250207,21.6
173,24001001401,12.6
174,24001002000,10.5
175,24001001900,4.7
176,24001001503,8.4
177,24001001800,44.1
178,24001000400,19.3
179,24001001402,11.3
180,24510030200,66.8
181,24510250101,25.9
182,24510280402,10.6
183,24510080102,10.7
184,24510040200,70.7
185,24510200800,27.2
186,24510270903,28
187,24510060200,75.5
188,24510260800,87.3
189,24510160400,6.3
190,24510280101,27.4
191,24510250401,70.5
192,24510240400,23.3
193,24510250102,26.8
194,24510250205,75.9
195,24510240300,24.4
196,24510271802,10.4
197,24510060100,81.3
198,24510010300,37.7
199,24510010200,66.3
200,24510270902,18.1
201,24510010100,27.5
202,24510270901,11.8
203,24510270802,17.9
204,24510260605,75.3
205,24510250402,69.9
206,24510271801,9.1
207,24510260201,35.4
208,24510260401,69.3
209,24510271300,42
210,24510230100,57.9
211,24510080101,44
212,24510060300,73.8
213,24510140200,14.2
214,24510160100,11.3
215,24510160200,7.6
216,24510260404,90.2
217,24510150300,6.2
218,24510150200,7.9
219,24510160700,8
220,24510260202,30.5
221,24510271400,46.9
222,24510130805,41
223,24510140300,18.2
224,24510170300,12.7
225,24510080302,6.9
226,24510100300,28.8
227,24510260501,76.1
228,24510160300,7.9
229,24510130400,13.5
230,24510160600,8.9
231,24510271600,10.8
232,24510271700,15.8
233,24510151300,7.3
234,24510210200,64.3
235,24510271503,33.5
236,24510060400,49.4
237,24510250204,5.2
238,24510070400,6.7
239,24510230200,27.7
240,24510240100,20.3
241,24510020100,59
242,24510260604,72.7
243,24510120202,65.3
244,24510272007,75.8
245,24510272005,42.9
246,24510230300,28.8
247,24510260302,19
248,24510080200,11.2
249,24510080301,7.8
250,24510010500,50.1
251,24510070100,28.9
252,24510250203,16.4
253,24510070300,24.6
254,24510080600,7.7
255,24510271900,41.8
256,24510080400,12.6
257,24510120201,55.7
258,24510272004,44.1
259,24510272006,54.1
260,24510280500,28.2
261,24510260403,17.4
262,24510150600,10
263,24510080800,5.4
264,24510160500,7.9
265,24510090100,26
266,24510260402,23.7
267,24510260700,81.6
268,24047951000,62.2
269,24047950900,38.6
270,24047951400,34.7
271,24047951300,56.7
272,24047951500,57.8
273,24047950800,26.6
274,24047951200,31.1
275,24047951100,16.7
276,24047951700,19.3
277,24047950000,41
278,24047980000,0
279,24047950300,20.7
280,24047950100,19.9
281,24047950700,14.9
282,24047950600,16.5
283,24047950400,18.9
284,24021752900,13.3
285,24021750600,31.9
286,24021750100,44.9
287,24021750300,65.1
288,24021750200,25.5
289,24021767600,25.6
290,24021740200,36.2
291,24021751600,16.3
292,24021767500,11.5
293,24021775302,36.1
294,24021766800,25.1
295,24021765100,64
296,24021772200,57.2
297,24021775400,36.8
298,24021770700,18.9
299,24021773500,52.1
300,24021775600,34.2
301,24021752301,69.2
302,24021752302,34.8
303,24021752502,19.5
304,24021752303,39.7
305,24021750504,80.6
306,24021750503,88.2
307,24021751003,70.6
308,24021751002,61.2
309,24021750802,45.8
310,24021750803,60.6
311,24021751202,62.9
312,24021750701,70.7
313,24021750702,73.9
314,24021751201,58.9
315,24021750506,79.2
316,24021751301,31.1
317,24021750801,51.1
318,24021751203,20
319,24021750505,89.5
320,24021751001,68.1
321,24021751004,54.2
322,24021752603,28.3
323,24021752501,22.9
324,24021752602,21.3
325,24021752601,20.6
326,24021752802,16.7
327,24021753001,13.5
328,24021751302,18.4
329,24021752801,9.4
330,24021752204,62.2
331,24021752102,24.3
332,24021752201,35.3
333,24021752101,25.9
334,24021751904,32.7
335,24021752202,70.8
336,24021751702,19
337,24021751802,15.2
338,24021751701,22.5
339,24021751801,29.5
340,24021751902,36.8
341,24021751903,23
342,24021751901,28.4
343,24021753002,20
344,24021752001,30
345,24041960100,25.9
346,24041960201,29.2
347,24041960300,69.4
348,24041960400,65.9
349,24041960600,29.8
350,24041960900,34
351,24041960700,26.7
352,24041960800,12.9
353,24041960501,38.4
354,24041960502,40.1
355,24015030200,23.7
356,24015030501,20.6
357,24015030400,53.3
358,24015030903,29.2
359,24015030601,18
360,24015030503,43.9
361,24015030700,12.5
362,24015030100,24.8
363,24015031201,26.4
364,24015030904,17.9
365,24015031202,40
366,24015031400,10.7
367,24015030602,51.3
368,24015030506,54.4
369,24015030505,41.2
370,24015030906,24.1
371,24015031302,16.5
372,24015031301,11.4
373,24015030905,17.9
374,24023000400,5.3
375,24023000100,7.8
376,24023000200,5.5
377,24023000600,7.4
378,24023000300,14.9
379,24023000700,6.6
380,24023000500,13.7
381,24039930101,49.7
382,24039930300,42.2
383,24039930500,43.3
384,24039930600,55.5
385,24039980400,41
386,24039930102,50.2
387,24039930200,27.3
388,24033801308,52.5
389,24033801302,67.4
390,24033801307,48.4
391,24033800701,34.2
392,24033802203,39
393,24033802204,23.9
394,24033801901,48.1
395,24033801904,63.4
396,24033801905,46.7
397,24033802406,33.8
398,24033802301,39.1
399,24033800413,41.7
400,24033800412,74.1
401,24033800514,44.8
402,24005491900,39.9
403,24005451600,22.8
404,24005404201,75.9
405,24005408704,42.7
406,24005408602,37.9
407,24005490703,35.2
408,24005402202,59.5
409,24005402305,33.8
410,24005402302,26.7
411,24033802404,13.3
412,24033801906,64.9
413,24033802103,46.5
414,24033802104,35.5
415,24033801802,17.4
416,24033801804,42
417,24005491100,61.2
418,24005411302,50.9
419,24005450300,34.8
420,24005451100,62.1
421,24005408200,28
422,24005406000,18
423,24005408100,35.5
424,24005405000,19.8
425,24005411307,59.5
426,24005402604,32.3
427,24005420402,28.9
428,24005401200,45.8
429,24033801805,18.6
430,24033802502,35.5
431,24033801801,31.7
432,24033802001,37.1
433,24033800504,63.9
434,24033800505,62.7
435,24033800518,39.2
436,24033800608,23.2
437,24005402506,34
438,24005410200,17.8
439,24005403601,35.9
440,24005411410,54.6
441,24005408703,31.7
442,24005420301,48.9
443,24005401400,22.7
444,24005411404,43.2
445,24005491600,59.1
446,24033800511,64.7
447,24033800509,19.9
448,24033800900,56.5
449,24033801104,74.9
450,24033801207,49.6
451,24033800103,85.6
452,24033800105,73.6
453,24033807305,92.1
454,24033805908,83.6
455,24005440300,65.6
456,24005402303,30.2
457,24005403202,22.4
458,24005402307,32.7
459,24005402404,22
460,24005490400,21.1
461,24005400900,72.7
462,24005402405,42.2
463,24005402403,19.3
464,24005402306,29.4
465,24005402304,21.8
466,24005403300,68.2
467,24005400702,62.2
468,24005401000,47.3
469,24033800206,61.9
470,24033800208,70.1
471,24033800102,75.5
472,24033800203,67.8
473,24033801500,60.5
474,24033801701,33.4
475,24033801405,82.1
476,24033801807,16.5
477,24033801404,64.9
478,24033801706,41.9
479,24033800519,61.1
480,24033800520,30.1
481,24033800516,63.4
482,24033800607,29.2
483,24033800515,62.8
484,24005404800,37.7
485,24005404600,32.1
486,24005451802,16
487,24005450504,56
488,24005404402,51.2
489,24005404202,74.4
490,24005411407,52.4
491,24005408900,31.9
492,24005403100,47.2
493,24005403702,58.3
494,24005451702,11.5
495,24005420100,21
496,24005491300,66
497,24005408702,22.4
498,24005440200,53.2
499,24005441000,38.3
500,24005411101,12.6
501,24005420900,50.1
502,24005420702,41.8
503,24005451500,57.1
504,24005452500,31.2
505,24005411406,31.6
506,24005411303,45.2
507,24033801600,34.3
508,24033801704,24.4
509,24033801702,40.8
510,24033803508,36.3
511,24033803602,43.9
512,24033803521,29.5
513,24033803523,20
514,24033800517,33.8
515,24033803520,35.5
516,24033803527,19.6
517,24005404501,65.8
518,24005441102,67.7
519,24005403701,56.1
520,24005408502,31.4
521,24005402504,28.7
522,24005402505,25
523,24005411409,47.5
524,24005402603,39.9
525,24005408507,80.3
526,24005491202,47.4
527,24005408400,39
528,24005408800,44.3
529,24005408503,76.5
530,24005408505,49.1
531,24005408506,74.6
532,24005420303,15.2
533,24005451300,59.5
534,24005452000,29.4
535,24005401503,36.2
536,24005401302,31.2
537,24005401102,47.9
538,24005400701,64.2
539,24033806400,61.6
540,24033807102,81.8
541,24033803605,89.7
542,24033803200,33.9
543,24033803601,38.3
544,24033803300,67
545,24033803513,18
546,24033803401,57.7
547,24033803402,24.1
548,24033800401,61.9
549,24005403201,30.2
550,24005402503,30.5
551,24005403802,22.4
552,24005440900,65.6
553,24005440800,71.9
554,24005450503,65
555,24005491402,56
556,24005408601,34.7
557,24005440600,58.5
558,24005490602,38.9
559,24005401301,47.7
560,24005420302,42.4
561,24005420500,54.4
562,24033806601,92.8
563,24033806602,90.1
564,24033803509,51.1
565,24033803613,73
566,24033803610,86.5
567,24033800402,63.5
568,24033800403,67.4
569,24033800409,66.9
570,24033806712,54.5
571,24033806501,92.5
572,24033806000,92.2
573,24033800707,43.3
574,24033800705,38.1
575,24033801004,52.1
576,24033801214,55.7
577,24033800706,34.9
578,24033801006,40.9
579,24033801311,40.6
580,24005451803,48
581,24005450900,26.6
582,24005452100,19.6
583,24005451801,47.5
584,24005451200,35.3
585,24005451701,39.3
586,24005452400,33.2
587,24005430800,37.4
588,24005401505,72.5
589,24005490800,36.7
590,24005490601,28.9
591,24005401504,70.7
592,24005490701,15.3
593,24005980200,0
594,24033803606,85.8
595,24033803607,74.6
596,24033803608,80.5
597,24033806706,75.4
598,24033806800,84.1
599,24033807301,83.2
600,24033806100,89
601,24033806200,85.6
602,24033805202,71
603,24033805500,93.7
604,24033805801,94.3
605,24033805904,92.6
606,24033807200,61.6
607,24005452300,70.1
608,24005450800,66.7
609,24005402201,59.6
610,24005400500,19.3
611,24005401101,56.5
612,24005490605,51.7
613,24005451900,10
614,24005408302,31.5
615,24005430300,68.4
616,24005401507,67
617,24005401506,49.4
618,24033802002,32.1
619,24033806900,87.9
620,24033807000,78.7
621,24033802501,25
622,24033806710,67.8
623,24033804900,72.4
624,24033805000,80.6
625,24033805101,93.4
626,24005400600,54.3
627,24005400100,45.6
628,24005400200,54.4
629,24005430600,28.2
630,24005430101,80
631,24005430900,72.4
632,24005430200,53.8
633,24005490900,58.5
634,24005491000,24
635,24005451000,13.3
636,24005491201,45.6
637,24005402407,48.1
638,24005404404,58
639,24005404102,72.9
640,24005404101,65.2
641,24033806708,72
642,24033800408,58.9
643,24033803612,75.7
644,24033803519,27.8
645,24033803512,25.5
646,24033805201,91.4
647,24033805802,93.9
648,24033806711,62
649,24033805700,93.8
650,24033801209,36.8
651,24033801313,57.2
652,24033801211,51.9
653,24033801215,50
654,24033801005,34.4
655,24033801217,47.6
656,24005430400,43.6
657,24005421101,53.7
658,24005421102,42
659,24005420401,53.8
660,24005420800,42.5
661,24005421200,38.1
662,24005490603,33.5
663,24005400400,36.4
664,24005490200,40.8
665,24005490301,63.1
666,24005492102,46.5
667,24005491500,64.5
668,24005491401,32.8
669,24005411201,12.9
670,24005402509,54.4
671,24005492401,40.6
672,24005492402,62.7
673,24005403402,64.9
674,24005403401,59.9
675,24005408304,29.7
676,24005408303,31
677,24005407002,18.8
678,24005407001,21.9
679,24005411309,47.8
680,24005411308,41.5
681,24005430104,48
682,24033803516,41.4
683,24033801707,49.4
684,24033801708,43
685,24033801808,29.8
686,24033802405,21.9
687,24033801406,41.1
688,24033801407,48.2
689,24033800604,27.1
690,24033800606,26.6
691,24033801309,54.9
692,24033802201,44.2
693,24033802803,24
694,24033802600,37.3
695,24033804700,89.5
696,24033802700,37.7
697,24033800209,79.1
698,24033800106,68
699,24033800211,67.1
700,24033800210,72.6
701,24033801208,34.6
702,24033801216,46.4
703,24033801210,38.9
704,24033801213,52.5
705,24033801409,65.4
706,24033801411,68.5
707,24043011201,48.6
708,24043010801,21.9
709,24043011301,27.9
