OBJECTID,CT2010,ThematicVa
710,24043011500,13
711,24005420600,50.1
712,24005490100,28.9
713,24005421000,58.6
714,24005420701,55.5
715,24005420200,23.2
716,24005411202,21.5
717,24005451402,73.5
718,24005980100,0
719,24005404403,74.7
720,24005402406,30.1
721,24005451401,73.4
722,24005492300,51
723,24033802804,15.7
724,24033802901,38.7
725,24033803001,36.9
726,24033803002,20.5
727,24033803100,47.3
728,24033802805,28.9
729,24033803514,20.6
730,24033805602,92.6
731,24033805601,94
732,24033807408,74.1
733,24033801410,61.5
734,24033801908,20.9
735,24033801907,31.4
736,24033802408,63.3
737,24033802107,17.4
738,24033803522,19.1
739,24043011600,15.4
740,24043010500,16.2
741,24043010802,19.2
742,24043010900,29.9
743,24043000400,64.3
744,24043000800,42.5
745,24043000900,58.2
746,24043001001,46.4
747,24043010600,8.4
748,24043010700,6.5
749,24043011400,18
750,24043010100,18.7
751,24043010200,13.1
752,24043000602,38.7
753,24043011000,42.8
754,24043011100,39.6
755,24043000301,41
756,24005450501,53.9
757,24005491701,62.2
758,24005492101,45.7
759,24005492001,59.9
760,24005490302,47.8
761,24005492002,50.4
762,24005411306,55.9
763,24005492200,50.9
764,24005492500,71.5
765,24005492600,60.9
766,24033807404,89.2
767,24033807407,85.4
768,24033807405,85.4
769,24033807304,92.4
770,24033803700,90.8
771,24033803900,94.1
772,24033800109,87.1
773,24033800213,78.4
774,24033803525,26
775,24033803524,23.9
776,24033806713,81.9
777,24033804802,88.5
778,24033805907,87.5
779,24033805909,84.2
780,24043010300,41.3
781,24043010400,39.3
782,24043000601,60.9
783,24043000700,52.3
784,24043000100,34.5
785,24043000500,60.6
786,24043011202,47
787,24043000200,46.6
788,24005980000,0
789,24005490500,19.5
790,24005421300,42.6
791,24005400800,69.9
792,24005441101,53.6
793,24005440701,74
794,24005440100,30.1
795,24005430700,33.7
796,24005411408,57.9
797,24005440400,54.3
798,24033804001,61.7
799,24033804002,92.2
800,24033804101,61.8
801,24033804102,77.9
802,24033804200,72.8
803,24033804300,73.7
804,24033804400,90.8
805,24033800215,71.3
806,24033800410,64.9
807,24033800411,68.8
808,24033806714,87.7
809,24033807409,87.1
810,24033807410,78.3
811,24033800212,73.4
812,24033800214,72.8
813,24033800513,69.9
814,24033801310,52.4
815,24033800704,38.1
816,24033802106,26.2
817,24043000302,52.6
818,24043001002,32
819,24043011302,25.7
820,24005403500,41.9
821,24005403803,20.1
822,24005404502,71.9
823,24005404900,27.5
824,24005450200,26.8
825,24005450100,41.8
826,24005440500,32.7
827,24005450400,33.2
828,24033806300,91
829,24033804600,91.3
830,24033803803,88.8
831,24033803801,89
832,24033800507,59.9
833,24033801305,49.7
834,24033800800,62.1
835,24033800601,34.3
836,24033800605,41.8
837,24033802407,23.1
838,24033801003,53.3
839,24033801408,35.1
840,24033805906,92.7
841,24033801312,60.2
842,24033801212,49.3
843,24033800108,76.1
844,24033804801,69.4
845,24033803526,18.1
846,24005440702,64.2
847,24005402602,41.4
848,24005403602,56.6
849,24005410100,20.9
850,24005411102,18.1
851,24005403801,35.7
852,24025301602,64.8
853,24025302400,50.4
854,24025302200,25.5
855,24025303300,13.7
856,24025303900,27.7
857,24025306100,57.4
858,24013507500,38.1
859,24013504202,13.9
860,24013503000,12.2
861,24013504100,18.6
862,24013505102,15.8
863,24013508200,16.7
864,24013512000,19.9
865,24013511000,19.8
866,24013505101,24.3
867,24013504201,15.2
868,24013502000,9.9
869,24013507601,39.2
870,24013507602,26.1
871,24013507802,19.8
872,24013506200,13.6
873,24013507702,26
874,24013507801,42.3
875,24013510000,17.3
876,24013514202,21.2
877,24013514201,18.4
878,24013514100,18.1
879,24013505203,47
880,24013501002,17.4
881,24013507704,30.3
882,24013506102,19.3
883,24013506101,19.3
884,24013505206,19.2
885,24013505208,24.8
886,24013508102,18.1
887,24013508101,19.4
888,24013509002,20.6
889,24013513002,26
890,24013513001,25.8
891,24013509001,13.8
892,24013507703,15.2
893,24013505205,23.4
894,24013505207,29.3
895,24013501001,26.3
896,24037876100,33
897,24037876200,37
898,24037875400,31.7
899,24037875500,39.8
900,24037875600,36.5
901,24037875000,24.2
902,24037875100,29.8
903,24037875700,21.6
904,24037876001,69.1
905,24037875802,34.2
906,24037875801,65.6
907,24037876002,64.1
908,24037875300,32.9
909,24037875202,27.3
910,24037875902,69.4
911,24037875901,65
912,24037875201,23.8
913,24045010702,52.6
914,24045010800,42.2
915,24045010701,43.1
916,24045000100,67.8
917,24045010604,28.1
918,24045010603,52.9
919,24045010102,53.3
920,24045000200,57.5
921,24045010101,53.6
922,24045000300,43.8
923,24045010200,40.2
924,24045010300,55.3
925,24045000400,59.2
926,24045000500,72.3
927,24045010400,47.7
928,24045010502,56.1
929,24045010606,27
930,24045010605,27.2
931,24045010501,53.3
932,24025301601,67.9
933,24025305100,13.6
934,24025301401,44.3
935,24025302902,64.6
936,24025306200,41.8
937,24025301102,31.3
938,24025301202,43.9
939,24035810100,36.2
940,24035810200,44.4
941,24035810300,33.2
942,24035810400,25.8
943,24035810800,18.7
944,24035810500,26.6
945,24025301402,42.3
946,24025302100,16.3
947,24025301302,67.2
948,24025301301,47
949,24025301703,58.5
950,24025301108,33.9
951,24025301106,28.4
952,24025303606,33.3
953,24019970100,40.5
954,24019970200,60.7
955,24019970300,32.6
956,24019970900,30
957,24035811000,29
958,24035810700,48.7
959,24035810600,21.4
960,24035810901,17
961,24035810902,11.7
962,24025301107,53.7
963,24025301105,30.5
964,24025303501,27.7
965,24025301205,44.2
966,24025301204,48.6
967,24019970400,61.9
968,24019970500,51.2
969,24019970600,62.5
970,24019970702,33.4
971,24019970804,23.6
972,24025301704,58.5
973,24025303101,25.7
974,24025303102,21.3
975,24025304101,10.5
976,24025304102,9.1
977,24025303502,19.1
978,24025303206,16.5
979,24025303205,14.1
980,24025303204,19.5
981,24025303803,29.3
982,24025303203,22.2
983,24025303801,32.5
984,24025301201,18.3
985,24025301702,63.3
986,24025303602,20.5
987,24025305200,14.8
988,24025303201,19
989,24025302801,54.6
990,24025306300,50.7
991,24025305300,27.2
992,24025302901,65
993,24025304201,15.4
994,24025303400,21.2
995,24025306400,47.9
996,24025303700,20.4
997,24025303603,28.9
998,24025302802,67.4
999,24025304202,16.2
1000,24025303802,41.3
1001,24025303605,42.9
1002,24025306500,68
1003,24031700815,85.7
1004,24031703209,85.2
1005,24031700306,79.5
1006,24031703210,85.6
1007,24031704600,44.8
1008,24031704401,55.4
1009,24031705800,36.4
1010,24031705300,17.3
1011,24031701704,74.8
1012,24031702602,74.5
1013,24031702800,69.2
1014,24031703215,83.9
1015,24031700711,81.5
1016,24031705701,43.9
1017,24031704502,49.1
1018,24031703302,89
1019,24031703213,87.7
1020,24031701703,82.8
1021,24031701313,70
1022,24031703403,90.5
1023,24031701312,58.9
1024,24031700817,75.7
1025,24031705400,29
1026,24031703402,90.9
1027,24031701202,42.2
1028,24031700400,36.5
1029,24031700103,61.5
1030,24031701900,88.3
1031,24031700101,54
1032,24031700706,88.6
1033,24031700205,64.7
1034,24031701002,57.3
1035,24031703902,86.1
1036,24031703301,86.4
1037,24031701701,65.7
1038,24031701213,52.8
1039,24031702301,89.8
1040,24031700818,84.7
1041,24031700304,78.6
1042,24031701308,63.5
1043,24031701307,63.5
1044,24031700309,82.5
1045,24031704000,85.4
1046,24031700704,83.4
1047,24031700500,40.6
1048,24031701506,74.5
1049,24031703208,65.8
1050,24031700206,47.9
1051,24031701102,86.5
1052,24031700308,74.3
1053,24031701800,69.2
1054,24031702402,75.9
1055,24031702401,68.7
1056,24031702601,72.3
1057,24031702200,76.3
1058,24031702101,89.5
1059,24031703000,67.2
1060,24031705702,34
1061,24031702700,83.7
1062,24031700810,80.6
1063,24031700204,44.5
1064,24031701005,61.9
1065,24031701408,75.1
1066,24031700310,76.1
1067,24031705602,56.9
1068,24031705902,45.1
1069,24031705601,36.4
1070,24031701702,79
1071,24031703404,91.6
1072,24031701215,60.7
1073,24031701414,77.3
1074,24031700835,78.7
1075,24031700312,72.4
1076,24031700207,72.2
1077,24031700208,46.5
1078,24031701317,55.9
1079,24031700819,81.6
1080,24031701507,76.3
1081,24031700608,60.8
1082,24031703207,89.9
1083,24031700604,48.7
1084,24031701205,45.4
1085,24031701417,69.8
1086,24031700610,63.7
1087,24031701004,59.9
1088,24031700105,80.6
1089,24031700104,77.2
1090,24031700720,87.6
1091,24031700830,83.3
1092,24031700311,76
1093,24031700833,86.1
1094,24031700722,86
1095,24031706007,54.1
1096,24031700811,85.1
1097,24031701211,74.5
1098,24031701303,46.4
1099,24031703202,62.8
1100,24031706005,52.3
1101,24031700903,86.4
1102,24031700905,65.6
1103,24031700614,83.4
1104,24031700611,71.9
1105,24031700616,63.5
1106,24031700820,88.4
1107,24031700823,68.8
1108,24031700829,68.2
1109,24031700822,86.9
1110,24031700826,49.5
1111,24031700716,83.8
1112,24031700715,86.8
1113,24031703502,75.7
1114,24031704300,35.9
1115,24031701206,58.3
1116,24031706009,47.7
1117,24031706008,45.6
1118,24031701306,49.4
1119,24031700824,53.6
1120,24031700615,56.2
1121,24031701220,62.8
1122,24031700718,69.1
1123,24031700717,89
1124,24031700719,91.4
1125,24031701007,68.9
1126,24031701006,57.5
1127,24031701214,62.1
1128,24031701304,45.6
1129,24031704700,31.2
1130,24031704503,41.9
1131,24031704501,54
1132,24031701210,49.1
1133,24031701410,70.9
1134,24031701221,65
1135,24031700828,57.3
1136,24031700724,91.1
1137,24031700723,66.9
1138,24031700832,88.4
1139,24031700721,83.3
1140,24031701219,88.6
1141,24031700713,90
1142,24031700902,86.3
1143,24031701212,60.8
1144,24031700901,73.9
1145,24031701001,69
1146,24031700816,86.5
1147,24031700813,84.5
1148,24031701101,81.4
1149,24031701218,70.4
1150,24031701216,68.5
1151,24031706011,53.4
1152,24031706013,46.8
1153,24031706010,64
1154,24031706012,72.1
1155,24031702302,79.5
1156,24031700812,80.1
1157,24031700904,72
1158,24031701201,82.3
1159,24031705100,38.8
1160,24031700607,60.2
1161,24031700606,59.9
1162,24031705903,50.4
1163,24031704404,52.2
1164,24031703221,80.5
1165,24031703218,30.2
1166,24031703219,38.2
1167,24031703216,71.1
1168,24031701315,65.5
1169,24031701316,60
1170,24031701314,71.8
1171,24031703100,82.6
1172,24031703206,82.3
1173,24031702900,61.5
1174,24031705200,32.9
1175,24031703201,80.4
1176,24031703601,81.4
1177,24031702000,93.3
1178,24031701421,70.7
1179,24031701509,85.2
1180,24031701508,65.2
1181,24031701420,74.9
1182,24031701423,70
1183,24031701602,93.2
1184,24031701601,86
1185,24031703401,90.7
1186,24031703501,89.7
1187,24031705000,43.2
1188,24031701503,82.8
1189,24031702500,73.9
1190,24031703212,83
1191,24031704200,49.8
1192,24031703701,92.4
1193,24031701415,80.3
1194,24031703220,80.6
1195,24031704806,55.3
1196,24031704804,50.1
1197,24031704803,61.3
1198,24031705502,34.8
1199,24031705501,46.5
1200,24031700613,73.7
1201,24031700834,84.6
1202,24031703214,85.7
1203,24031701409,74.6
1204,24031705901,45.7
1205,24031701407,76.2
1206,24031702102,52.3
1207,24031703800,86.5
1208,24031703702,90.2
1209,24031701418,72.9
1210,24031704805,59.4
1211,24031704403,43.8
1212,24031701422,55.4
1213,24031704100,38.8
1214,24031703602,63.4
1215,24031701505,79.3
1216,24031703901,70.2
1217,24031700710,85.3
1218,24003741000,40.9
1219,24003701200,22.8
1220,24003701300,32.4
1221,24003701400,40.6
1222,24003701102,44.7
1223,24003702100,24.3
1224,24003740601,73.2
1225,24003702300,23.2
1226,24003702601,43.9
1227,24003702402,32.7
1228,24003702500,80.4
1229,24003706401,86.1
1230,24003702602,40
1231,24003707001,34.9
1232,24003706402,72.7
1233,24003706500,74.2
1234,24003706600,57.4
1235,24003730700,23.4
1236,24003730100,41.6
1237,24003730800,18.7
1238,24003730901,47.7
1239,24003730902,33.8
1240,24003731002,43.2
1241,24003731103,42.7
1242,24003731202,19.6
1243,24003731303,12.4
1244,24003731306,16.4
1245,24003731307,32.9
1246,24003731102,26.7
1247,24003730204,66.4
1248,24003730603,36.8
1249,24003730300,47.6
1250,24003730402,66
1251,24003751000,48
1252,24003731311,44.2
1253,24003731203,30.3
1254,24003731204,35.2
1255,24003731310,32.7
1256,24003731309,28.7
1257,24003730601,22
1258,24003730604,33.6
1259,24003731201,23.4
1260,24003730502,63.6
1261,24003730504,62.9
1262,24003740102,67.8
1263,24003740203,50.2
1264,24003740500,66.4
1265,24003740800,37.1
1266,24003740201,70
1267,24003740400,37.5
1268,24003750801,36.3
1269,24003750101,65
1270,24003750102,57.1
1271,24003750202,42.7
1272,24003750203,51.5
1273,24003730203,74.7
1274,24003751103,39.4
1275,24003750804,59.1
1276,24003750900,47.3
1277,24003751102,61.5
1278,24003750400,27.6
1279,24003750201,55.5
1280,24003750300,43.9
1281,24003706101,53.1
1282,24003706700,54.1
1283,24003707002,28.3
1284,24003750803,72.5
1285,24003730401,59.8
1286,24003740103,71.4
1287,24003731308,15
1288,24003740602,72.1
1289,24003701101,22.4
1290,24003740303,57.5
1291,24003740900,60.9
1292,24003740104,69.6
1293,24003740105,53.9
1294,24003740603,66.5
1295,24003702204,31.8
1296,24003708004,45.1
1297,24003708001,26.8
1298,24003702702,21
1299,24003740702,52
1300,24003702205,38.9
1301,24003702209,39.4
1302,24003702206,45.8
1303,24003706302,35.6
1304,24003706301,62.6
1305,24003702701,47
1306,24003730506,71.3
1307,24003730505,75.9
1308,24003731105,35.4
1309,24003731104,40.3
1310,24003731004,32.7
1311,24003731003,29.2
1312,24003740305,66.7
1313,24003740701,53.2
1314,24003740304,60.1
1315,24003980000,29
1316,24003702208,63.4
1317,24003751700,30.7
1318,24003751600,31
1319,24003751400,57
1320,24003751200,31.2
1321,24003751500,83.1
1322,24009860502,27.6
1323,24009860600,33.7
1324,24009860801,35.7
1325,24009860802,33
1326,24009860401,34.3
1327,24009861001,28.8
1328,24009860900,45.8
1329,24009860200,36
1330,24009860102,29.5
1331,24009860300,34.4
1332,24009860701,37
1333,24009860501,36.2
1334,24009860101,33.1
1335,24009860702,53.5
1336,24009860703,52.9
1337,24009860402,40.3
1338,24009861004,44.7
1339,24009861003,40.3
1340,24027601201,60.2
1341,24027602302,66
1342,24027602100,53.3
1343,24027602303,58.4
1344,24027602306,58.3
1345,24027602304,56
1346,24027602600,72.2
1347,24027602700,55.2
1348,24027602800,64.9
1349,24027602900,70.3
1350,24027602305,47.8
1351,24027605503,74
1352,24027605102,58.8
1353,24027605601,69.3
1354,24027606604,75.4
1355,24027605402,70.6
1356,24027605502,68.3
1357,24027605401,73.1
1358,24027605602,67.8
1359,24027606901,75.1
1360,24027606705,65.6
1361,24027606601,62.6
1362,24027606804,63
1363,24027606603,81.5
1364,24027606701,42.6
1365,24027606704,75
1366,24027606803,63.5
1367,24027604001,35
1368,24027604002,37.2
1369,24027601204,68.1
1370,24027601203,72.6
1371,24027601103,61.4
1372,24027601104,55.9
1373,24027606607,72.9
1374,24027601105,60.5
1375,24027606606,78.4
1376,24027601108,66
1377,24027606706,71.8
1378,24027602202,54.1
1379,24027603004,49.7
1380,24027605104,50.3
1381,24027603003,36.5
1382,24027603001,56.9
1383,24027605505,59.5
1384,24027605103,47.6
1385,24027606806,65.8
1386,24027606905,72.7
1387,24027606907,76.5
1388,24027606805,60.1
1389,24027606707,75.3
1390,24027601107,67.9
1391,24027602201,57.7
1392,24027605504,62.1
1393,24027606904,75.5
1394,24027606906,77.6
